,Acquired_Company,New_Operating_Entity
0,Dejavue,Google Groups
1,Outride,Google Personalized Search
2,Pyra Labs,Blogger
3,Neotonic Software,Google Groups
3,Neotonic Software, Gmail
4,Applied Semantics,AdSense
4,Applied Semantics, AdWords
5,Kaltix,iGoogle
6,Sprinks,AdSense
6,Sprinks, AdWords
7,Genius Labs,Blogger
8,Ignite Logic,Google Sites
9,Picasa,Picasa
9,Picasa, Blogger
10,ZipDash,Google Maps
11,Where2,Google Maps
12,Keyhole,Google Maps
12,Keyhole, Google Earth
13,Urchin Software Corporation,Google Analytics
14,Dodgeball,Google Latitude
15,Akwan Information Technologies,Internet backbone
16,Reqwireless,Google Mobile
17,Android,Android
18,Skia,Skia
19,Phatbits,Google Desktop
20,allPAY,Google Mobile
21,bruNET,Google Mobile
22,dMarc Broadcasting,AdSense
23,Measure Map,Google Analytics
24,Upstartle,Google Docs
25,@Last Software,Google Sketchup
26,Orion,Google Search
27,2Web Technologies,Google Spreadsheet
28,Neven Vision Germany,Picasa
28,Neven Vision Germany, Google Goggles
29,YouTube,YouTube
30,JotSpot,Google Sites
31,Endoxon,Google Maps
32,Adscape,AdSense
33,Trendalyzer,Google Analytics
34,Crusix,YouTube
35,Tonic Systems,Google Docs
36,Marratech,Google Talk
36,Marratech, Google Hangouts
37,DoubleClick,AdSense
38,GreenBorder,Google Chrome
39,Panoramio,Panoramio
40,FeedBurner,FeedBurner
41,PeakStream,Android
42,Zenter,Google Docs
43,GrandCentral,Google Voice
44,ImageAmerica,Google Maps
45,Postini,Gmail
46,Zingku,Google Mobile
47,Jaiku,Google Mobile
48,Omnisio,YouTube
49,TNC,Blogger
50,On2,WebM
50,On2, YouTube
51,reCAPTCHA,Google Books
52,AdMob,DoubleClick
52,AdMob, Invite Media
53,Gizmo5,Google Talk
53,Gizmo5, Google Hangouts
54,Teracent,AdSense
55,AppJet,Google Wave
55,AppJet, Google Docs
56,Aardvark,Aardvark
57,reMail,Gmail
58,Picnik,Picasa
59,DocVerse,Google Docs
60,Episodic,YouTube
61,Plink,Google Goggles
62,Agnilux,Android
63,LabPixies,iGoogle
63,LabPixies, Android
64,BumpTop,Android
65,Global IP Solutions,WebRTC
66,Simplify Media,Android
67,Ruba.com,iGoogle
68,Invite Media,DoubleClick
69,Metaweb,Google Search
70,Zetawire,Android
70,Zetawire, Google Wallet
70,Zetawire, Google Checkout
71,Instantiations,Google Web Toolkit
72,Slide.com,Google+
72,Slide.com, Orkut
72,Slide.com, Google Play
73,Jambool,Google+
73,Jambool, Orkut
74,Like.com,Google Shopping
75,Angstro,Google
75,Angstro, Google Alert
76,SocialDeck,Google
76,SocialDeck, Google+
77,Quiksee,Google Maps
78,Plannr,Google+
79,BlindType,Android
80,Phonetic Arts,Google Voice
80,Phonetic Arts, Google Translate
81,Widevine Technologies,Google TV
82,eBook Technologies,Google Books
83,SayNow,Google Voice
84,Zynamics,Project Zero (Google)
85,BeatThatQuote.com,Google Shopping
86,Next New Networks,YouTube
87,Green Parrot Pictures,YouTube
88,PushLife,Google Play
89,ITA Software,Google Flights
90,TalkBin,Android
91,Sparkbuy,Google Shopping
92,PostRank,Google+ Google Analytics
93,Admeld,DoubleClick
93,Admeld, Invite Media
94,SageTV,Google TV
94,SageTV, Google Fiber
94,SageTV, Android TV
95,Punchd,Google Offers
96,Fridge,Google+
97,PittPatt,Android
98,Dealmap,Google Offers
99,Motorola Mobility,Android
99,Motorola Mobility, Google TV
99,Motorola Mobility, Android TV
99,Motorola Mobility, Patent portfolio
100,Zave Networks,Google Offers
101,Zagat,Google Places
101,Zagat, Google Maps
102,DailyDeal,Google Offers
103,SocialGrapple,Google+ Google Analytics
104,Apture,Google Search
105,Katango,Google+
106,RightsFlow,YouTube
107,Clever Sense,Google Maps
108,Milk,Google+
109,TxVia,Google Wallet
109,TxVia, Google Checkout
110,Meebo,Google+
111,Quickoffice,Google Docs
112,Sparrow,Gmail
113,WIMM Labs,Android Wear
114,Wildfire Interactive,Google
114,Wildfire Interactive, Google+
115,VirusTotal.com,Chronicle
116,Nik Software,Google
116,Nik Software, Android
117,Viewdle,Android
118,Incentive Targeting,Google Offers
119,BufferBox,Google Shopping
119,BufferBox, Android
120,Channel Intelligence,Google Shopping
121,DNNresearch,Google
121,DNNresearch, X
122,Talaria Technologies,Google Cloud
123,Behavio,Google Now
124,Wavii,Google Knowledge Graph
125,Makani Power,X
126,Waze,Google Maps 
126,Waze, Waze
127,Bump,Google Photos
128,Flutter,Google
128,Flutter, Android
128,Flutter, X
129,FlexyCore,Android
130,Schaft,X
131,Industrial Perception,X
132,Redwood Robotics,X
133,Meka Robotics,X
134,Holomni,X
135,Bot & Dolly,X
136,Autofuss,X
137,Bitspin,Android
138,Nest Labs,Nest Labs
139,Impermium,Project Zero (Google)
140,DeepMind Technologies,Google DeepMind
141,SlickLogin,Project Zero (Google)
142,spider.io,DoubleClick
142,spider.io, Adsense
143,GreenThrottle,Android
144,Titan Aerospace,Project Loon
145,Rangespan,Google Shopping
146,Adometry,Google Analytics AdSense
147,Appetas,Google My Business
148,Stackdriver,Google Cloud Platform
149,MyEnergy,Nest Labs
150,Quest Visual,Google Translate
151,Divide,Android for Work
152,Skybox Imaging,Google Maps
152,Skybox Imaging, Project Loon
153,mDialog,DoubleClick
154,Alpental Technologies,Google
155,Dropcam,Nest Labs
156,Appurify,Android
157,Songza,Google Play
157,Songza, Android TV
158,drawElements,Android
159,Emu,Google Hangouts
159,Emu, Google Now
160,Director,YouTube
160,Director, Android
161,Jetpac,Picasa
162,Gecko Design,X
163,Zync Render,Google Cloud Platform
164,Lift Labs,Verily
165,Polar,Google+
166,Firebase,Google Cloud Platform
167,Dark Blue Labs & Vision Factory,Google DeepMind
168,Revolv,Nest Labs
169,RelativeWave,Android
170,Vidmaker,YouTube
171,Launchpad Toys,YouTube for Kids
172,Odysee,Google+
173,Softcard,Android Pay
174,Red Hot Labs,Google Play
175,Thrive Audio,Google Cardboard
176,Skillman & Hackett,Tilt Brush
177,Timeful,Google Inbox
177,Timeful, Google Calendar
178,Pulse.io,Android
179,Pixate,Android
180,Oyster,Google Play Books
181,Jibe Mobile,Android
182,Agawi,Android
182,Agawi, Google Play
183,Digisfera,Street View
184,Fly Labs,Google Photos
185,bebop,Google Cloud Platform
186,BandPage,YouTube
187,Pie,Spaces (app)
188,Synergyse,Google Docs
189,Webpass,Google Fiber
190,Moodstocks,Google Photos
191,Anvato,Google Cloud Platform
192,Kifi,Spaces (app)
193,LaunchKit,Firebase
194,Orbitera,Google Cloud Platform
195,Apigee,Google Cloud Platform
196,Urban Engines,Google Maps
197,API.AI,Google Assistant
198,FameBit,YouTube
199,Eyefluence,Google VR
200,LeapDroid,Android
201,Qwiklabs,Google Cloud Platform
202,Cronologics,Android Wear
203,Limes Audio,Google Duo
203,Limes Audio, Google Hangouts
204,Fabric,Firebase
205,Kaggle,Google Cloud Platform
206,AppBridge,Google Docs
207,Owlchemy Labs,Google VR
209,AIMatter,YouTube
210,HTC (portions),Google Pixel
211,Bitium,Google Cloud Platform
212,Relay Media,Accelerated Mobile Pages
213,60db,Google Play Music
213,60db, Google Podcasts
215,Tenor,Google Images
216,Velostrata,Google Cloud Platform
217,Cask,Google Cloud Platform
218,GraphicsFuzz,Android
219,Senosis,Nest Labs
221,Workbench,Google Classroom
223,Superpod,Google Assistant
224,Alooma,Google Cloud Platform
225,Nightcorn,YouTube
226,Looker,Google Cloud Platform
227,Elastifile,Google Cloud Platform
